Parameter Name,Annual Goal,Achieved,Remaining Target,Months Completed,Months Remaining,Required Monthly Target,Achievement %,Status,Trend
Production Volume,120000,89200.0,30800.0,9,3,10266.67,74.33,Monitor,📈 Improving
Sales Revenue,6000000,4645000.0,1355000.0,9,3,451666.67,77.42,On Track,📈 Improving
Dealer Addition,60,43.0,17.0,9,3,5.67,71.67,Monitor,📈 Improving
Customer Complaints,100,63.0,37.0,9,3,12.33,63.0,Critical,➖ Stable
Safety Observations,240,194.0,46.0,9,3,15.33,80.83,On Track,📈 Improving
Energy Consumption,45000,34030.0,10970.0,9,3,3656.67,75.62,On Track,📈 Improving
Inventory Turnover,8,6.3,1.7,9,3,0.57,78.75,On Track,📈 Improving
OTIF Delivery (%),98,72.0,26.0,9,3,8.67,73.47,Monitor,📈 Improving
Quality Score (%),96,72.0,24.0,9,3,8.0,75.0,On Track,📈 Improving
Cost Reduction ($),80000,63400.0,16600.0,9,3,5533.33,79.25,On Track,📈 Improving
